69,84,17,110,225,18,244,45,40,-9999,3,2,8,7,112
69,78,39,106,226,60,244,35,46,-9999,3,2,8,7,101
13,49,6,100,234,61,243,21,74,-9999,15,2,2,7,0
27,128,11,112,234,64,243,32,70,-9999,14,2,2,7,0
44,221,16,127,232,68,243,65,66,-9999,13,2,2,7,0
105,252,59,138,228,72,243,102,63,-9999,12,2,13,7,0
213,235,90,140,223,72,243,114,60,-9999,10,2,13,7,0
147,234,50,137,224,71,243,131,57,-9999,8,2,13,7,0
277,246,141,138,222,70,243,136,55,-9999,5,2,13,7,0
223,173,37,134,222,47,243,123,54,-9999,4,2,13,7,0
160,217,59,122,226,49,243,126,57,-9999,3,2,13,7,0
62,203,29,115,231,34,243,131,59,-9999,3,2,13,7,0
116,165,28,80,194,43,271,123,217,1,32,2,13,10,4
22,126,11,110,234,61,243,30,77,2,17,2,2,7,0
63,279,30,125,231,68,243,58,74,2,16,2,13,7,0
156,313,89,138,227,75,243,101,71,-9999,15,2,13,7,0
249,277,99,143,221,76,243,122,68,-9999,13,2,13,7,0
263,172,60,139,220,75,243,100,65,-9999,11,2,13,7,0
222,176,66,136,222,74,243,100,63,-9999,9,2,13,7,0
214,167,50,138,222,72,243,96,60,-9999,6,2,13,7,0
230,141,45,132,223,68,243,100,60,-9999,4,2,13,7,0
178,192,56,125,224,65,243,110,62,-9999,3,2,13,7,0
160,215,77,126,227,65,243,123,65,-9999,3,2,13,7,0
197,235,98,130,225,66,243,115,67,-9999,3,2,8,7,0
203,211,73,128,223,64,242,113,69,-9999,3,2,8,7,0
159,208,47,77,191,44,271,153,226,1,32,2,13,10,2
41,226,18,121,232,63,243,54,81,2,20,2,2,7,0
150,321,81,137,226,72,243,102,78,2,18,2,13,7,0
304,273,117,143,220,78,243,120,75,-9999,16,2,13,7,0
241,209,71,138,220,77,243,101,73,-9999,14,2,13,7,0
202,175,51,131,224,76,243,77,70,-9999,12,2,13,7,0
153,143,23,132,225,76,243,82,68,-9999,9,2,13,7,0
241,135,77,134,224,72,243,94,66,-9999,6,2,13,7,0
167,142,18,130,224,70,243,85,65,-9999,4,2,13,7,0
229,220,54,135,222,71,243,89,67,-9999,3,2,8,7,0
225,220,48,137,224,72,243,123,69,-9999,3,2,8,7,0
196,175,38,131,224,70,243,129,69,-9999,3,2,8,7,0
217,178,75,121,224,68,242,126,69,-9999,3,2,8,7,0
278,240,50,86,185,46,271,132,225,1,32,2,12,10,0
220,235,64,73,189,43,271,131,225,1,32,2,12,10,0
123,211,51,63,195,39,271,119,224,1,32,2,2,16,0
56,147,31,61,200,34,271,109,214,1,32,2,2,10,0
68,98,55,65,200,40,271,47,178,1,32,2,10,7,0
255,300,110,143,223,74,243,122,82,2,20,2,13,7,0
208,224,59,138,222,78,243,109,80,-9999,18,2,13,7,0
169,230,23,127,225,76,243,86,77,-9999,16,2,13,7,0
141,158,25,123,227,75,243,76,75,-9999,13,2,13,7,0
200,162,78,128,225,74,243,96,73,-9999,10,2,13,7,0
187,165,64,129,226,71,243,104,71,-9999,6,2,13,7,0
175,343,53,134,224,73,243,97,69,-9999,4,2,13,7,0
289,338,87,143,218,76,243,132,69,-9999,3,2,8,7,0
254,396,98,137,222,75,243,176,69,-9999,3,2,8,7,0
153,284,55,119,228,69,243,155,69,-9999,3,2,8,7,0
127,227,59,109,229,64,242,118,69,-9999,3,2,8,7,0
421,275,89,92,180,44,271,134,225,1,32,2,12,10,0
318,283,64,80,183,46,271,123,225,1,32,2,10,7,0
203,276,70,67,190,42,271,116,225,1,32,2,2,10,0
98,228,33,61,197,43,271,97,224,1,32,2,1,16,0
44,109,20,61,200,46,271,59,215,1,32,2,2,10,0
34,49,14,63,201,47,271,54,203,1,32,2,2,7,0
44,74,13,65,200,47,271,41,193,1,32,2,12,7,0
18,88,15,62,202,39,271,47,185,1,32,2,1,10,0
292,250,132,139,221,74,243,122,86,2,22,2,13,7,0
143,231,26,127,227,75,243,96,84,-9999,20,2,13,7,0
142,134,49,117,229,72,243,93,82,-9999,17,2,13,7,0
